Sweep,Representation,tau,n_illicit,n_matched,seed,mmd2,perm_p,separable,Low_Confidence
BB: Label-Cond Separability Raw-vs-Prop,Raw,16,128,128,8,0.06846609664958092,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,16,128,128,9,0.07875372769123867,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,17,99,99,0,0.11310552500632176,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,17,99,99,1,0.10715532741554168,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,17,99,99,2,0.1276765729415832,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,17,99,99,3,0.10680209631997228,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,17,99,99,4,0.10587911434135933,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,17,99,99,5,0.10315847364453212,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,17,99,99,6,0.11031021207079728,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,17,99,99,7,0.10995072094861147,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,17,99,99,8,0.12414633970912514,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,17,99,99,9,0.12004878832235355,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,18,52,52,0,0.18196701658811065,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,18,52,52,1,0.11044301916388366,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,18,52,52,2,0.13502205601522999,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,18,52,52,3,0.12214340222566578,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,18,52,52,4,0.10256522958185066,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,18,52,52,5,0.08896989733553107,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,18,52,52,6,0.11976517138001297,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,18,52,52,7,0.13185640617896977,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,18,52,52,8,0.11649358975796642,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,18,52,52,9,0.10550901460006656,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,19,80,80,0,0.13820328094138978,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,19,80,80,1,0.15820647459759796,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,19,80,80,2,0.1477071614128278,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,19,80,80,3,0.14903991304802422,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,19,80,80,4,0.12427646180917917,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,19,80,80,5,0.14741579598029597,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,19,80,80,6,0.11673066852614977,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,19,80,80,7,0.12465166436910358,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,19,80,80,8,0.1683424428089504,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,19,80,80,9,0.10076829433442636,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,20,260,260,0,0.042323928582681525,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,20,260,260,1,0.04370887403461854,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,20,260,260,2,0.04736031521992112,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,20,260,260,3,0.0466041591226003,0.000999000999000999,1,0
