Seed,Variation,Sweep,Feature_Set,SGC_K,Multiscale_Prop,Directionality,Topological_Injection,Decay_Lambda,Threshold_Method,Static_Time_s,Static_Mem_MB,Static_Val_Pooled_F1,Static_Val_Pooled_PRAUC,Static_Val_Macro_F1,Static_Val_Macro_PRAUC,Static_OOT_Pooled_F1,Static_OOT_Pooled_PRAUC,Static_OOT_Macro_F1,Static_OOT_Macro_PRAUC,WF_Time_s,WF_Mem_MB,WF_Pooled_F1,WF_Pooled_PRAUC,WF_Macro_F1,WF_Macro_PRAUC,WF_Pre43_Pooled_F1,WF_Pre43_PRAUC,WF_Shock_F1,WF_Shock_PRAUC,WF_Recovery_Pooled_F1,WF_Recovery_PRAUC,Selfcond_Bug,Notes
42,Base,"Grid: K=2, Dir=F, Topo=None",N/A,2,True,False,None,N/A,0.5,13.079,1.55,0.859,0.876,0.807,0.838,0.436,0.385,0.24,0.29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"Grid: K=2, Dir=F, Topo=late",N/A,2,True,False,late,N/A,0.5,10.924,1.55,0.856,0.85,0.822,0.864,0.345,0.265,0.19,0.213,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"Grid: K=2, Dir=F, Topo=early",N/A,2,True,False,early,N/A,0.5,12.408,1.54,0.823,0.888,0.774,0.84,0.553,0.53,0.322,0.392,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"Grid: K=2, Dir=T, Topo=None",N/A,2,True,True,None,N/A,0.5,22.028,1.5,0.841,0.919,0.794,0.879,0.455,0.509,0.262,0.361,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"Grid: K=2, Dir=T, Topo=late",N/A,2,True,True,late,N/A,0.5,29.546,1.48,0.846,0.89,0.788,0.849,0.465,0.47,0.257,0.322,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"Grid: K=2, Dir=T, Topo=early",N/A,2,True,True,early,N/A,0.5,34.857,1.49,0.872,0.91,0.82,0.871,0.463,0.494,0.248,0.317,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"Grid: K=3, Dir=F, Topo=None",N/A,3,True,False,None,N/A,0.5,20.416,1.55,0.788,0.789,0.69,0.743,0.16,0.204,0.101,0.199,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"Grid: K=3, Dir=F, Topo=late",N/A,3,True,False,late,N/A,0.5,23.02,1.58,0.865,0.918,0.832,0.868,0.454,0.386,0.26,0.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"Grid: K=3, Dir=F, Topo=early",N/A,3,True,False,early,N/A,0.5,21.098,1.58,0.843,0.892,0.815,0.844,0.415,0.364,0.242,0.278,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"Grid: K=3, Dir=T, Topo=None",N/A,3,True,True,None,N/A,0.5,36.704,1.49,0.85,0.927,0.795,0.851,0.45,0.494,0.252,0.333,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"Grid: K=3, Dir=T, Topo=late",N/A,3,True,True,late,N/A,0.5,38.225,1.49,0.842,0.927,0.767,0.827,0.378,0.39,0.195,0.249,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,Base,"Grid: K=3, Dir=T, Topo=early",N/A,3,True,True,early,N/A,0.5,46.48,1.57,0.872,0.941,0.799,0.851,0.447,0.44,0.26,0.296,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,PCA,"NoMP Grid: K=1, Dir=F, Topo=None",N/A,1,False,False,None,N/A,0.5,10.684,83.84,0.823,0.906,0.76,0.821,0.395,0.419,0.231,0.321,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,PCA,"NoMP Grid: K=1, Dir=F, Topo=late",N/A,1,False,False,late,N/A,0.5,8.138,1.53,0.821,0.914,0.755,0.82,0.398,0.406,0.224,0.298,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,PCA,"NoMP Grid: K=1, Dir=F, Topo=early",N/A,1,False,False,early,N/A,0.5,7.16,1.51,0.814,0.903,0.758,0.814,0.418,0.462,0.238,0.333,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,PCA,"NoMP Grid: K=2, Dir=F, Topo=None",N/A,2,False,False,None,N/A,0.5,7.267,1.52,0.809,0.891,0.738,0.783,0.416,0.385,0.233,0.332,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,PCA,"NoMP Grid: K=2, Dir=F, Topo=late",N/A,2,False,False,late,N/A,0.5,7.312,1.49,0.798,0.891,0.714,0.803,0.282,0.338,0.163,0.295,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,PCA,"NoMP Grid: K=2, Dir=F, Topo=early",N/A,2,False,False,early,N/A,0.5,6.992,1.52,0.817,0.906,0.752,0.807,0.48,0.488,0.27,0.392,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,PCA,"NoMP Grid: K=3, Dir=F, Topo=None",N/A,3,False,False,None,N/A,0.5,7.014,1.56,0.806,0.885,0.745,0.799,0.433,0.382,0.248,0.296,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,PCA,"NoMP Grid: K=3, Dir=F, Topo=late",N/A,3,False,False,late,N/A,0.5,7.433,1.5,0.822,0.903,0.739,0.812,0.323,0.391,0.191,0.307,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,PCA,"NoMP Grid: K=3, Dir=F, Topo=early",N/A,3,False,False,early,N/A,0.5,7.301,1.54,0.777,0.887,0.704,0.791,0.376,0.309,0.236,0.292,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
42,PCA,"Grid: K=1, Dir=F, Topo=None",N/A,1,True,False,None,N/A,0.5,7.469,1.45,0.859,0.856,0.808,0.832,0.317,0.297,0.174,0.262,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
