Sweep,Variation,tau,seed,shuffle_flag,M,beta0_total_pers,beta1_total_pers,beta1_max_life,pers_entropy_h0,pers_entropy_h1,wasserstein_h0_to_next,wasserstein_h1_to_next,wasserstein_combined_to_next,mmd2_to_next,Low_Confidence
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,3,4,0,800,,,,,,,,,0.021663784980773926,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,4,4,0,800,,,,,,,,,0.009215116500854492,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,5,4,0,800,,,,,,,,,0.022053122520446777,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,6,4,0,800,,,,,,,,,0.02453029155731201,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,7,4,0,800,,,,,,,,,0.01124274730682373,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,8,4,0,800,,,,,,,,,0.01131904125213623,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,9,4,0,800,,,,,,,,,0.008452892303466797,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,10,4,0,800,,,,,,,,,0.006108403205871582,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,11,4,0,800,,,,,,,,,0.012292146682739258,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,12,4,0,800,,,,,,,,,0.014426112174987793,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,13,4,0,800,,,,,,,,,0.011422157287597656,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,14,4,0,800,,,,,,,,,0.00908958911895752,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,15,4,0,800,,,,,,,,,0.001126408576965332,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,16,4,0,800,,,,,,,,,0.014974594116210938,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,17,4,0,800,,,,,,,,,0.009748578071594238,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,18,4,0,800,,,,,,,,,0.013631224632263184,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,19,4,0,800,,,,,,,,,0.0065735578536987305,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,20,4,0,800,,,,,,,,,0.005798935890197754,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,21,4,0,800,,,,,,,,,0.008906960487365723,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,22,4,0,800,,,,,,,,,0.004590153694152832,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,23,4,0,800,,,,,,,,,0.008267760276794434,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,24,4,0,800,,,,,,,,,0.020058274269104004,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,25,4,0,800,,,,,,,,,0.0037304162979125977,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,26,4,0,800,,,,,,,,,0.007199406623840332,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,27,4,0,800,,,,,,,,,0.007595181465148926,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,28,4,0,800,,,,,,,,,0.0038366317749023438,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,29,4,0,800,,,,,,,,,0.005481600761413574,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,30,4,0,800,,,,,,,,,0.008784770965576172,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,31,4,0,800,,,,,,,,,0.006800651550292969,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,32,4,0,800,,,,,,,,,0.007820725440979004,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,33,4,0,800,,,,,,,,,0.00904238224029541,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,34,4,0,800,,,,,,,,,0.003972291946411133,0
